DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-08-02_20:53:40.00,230.0,-95.55,-88.16,3
2016-08-02_20:53:40.00,232.0,-92.64,-91.06,2
2016-08-02_20:53:40.00,234.0,-90.3,-86.8,3
2016-08-02_20:53:40.00,236.0,-89.13,-92.79,1
2016-08-02_20:53:40.00,238.0,-96.79,-90.63,3
2016-08-02_20:53:40.00,240.0,-98.97,-90.19,3
2016-08-02_20:53:40.00,242.0,-98.59,-92.17,3
2016-08-02_20:53:40.00,244.0,-99.16,-103.4,1
2016-08-02_20:53:40.00,246.0,-99.6,-91.89,3
2016-08-02_20:53:40.00,248.0,-97.97,-95.08,2
2016-08-02_20:53:40.00,250.0,-99.25,-92.87,3
2016-08-02_20:53:40.00,252.0,-100.81,-104.32,1
2016-08-02_20:53:40.00,254.0,-89.59,-88.73,2
2016-08-02_20:53:40.00,256.0,-93.26,-92.19,2
2016-08-02_20:53:40.00,258.0,-100.28,-104.7,1
2016-08-02_20:53:40.00,260.0,-91.49,-93.01,2
2016-08-02_20:53:40.00,262.0,-102.3,-101.13,2
2016-08-02_20:53:40.00,264.0,-96.18,-96.53,2
2016-08-02_20:53:40.00,266.0,-99.93,-104.52,1
2016-08-02_20:53:40.00,268.0,-96.34,-96.19,2
2016-08-02_20:53:40.00,270.0,-91.73,-92.18,2
2016-08-02_20:53:40.00,272.0,-86.26,-86.37,2
2016-08-02_20:53:40.00,274.0,-95.24,-97.9,2
2016-08-02_20:53:40.00,276.0,-93.34,-93.95,2
2016-08-02_20:53:40.00,278.0,-97.71,-94.51,3
2016-08-02_20:53:40.00,280.0,-91.63,-89.29,2
2016-08-02_20:53:40.00,282.0,-84.65,-94.38,1
2016-08-02_20:53:40.00,284.0,-95.82,-105.98,1
2016-08-02_20:53:40.00,286.0,-99.28,-104.77,1
2016-08-02_20:53:40.00,288.0,-91.21,-86.27,3
2016-08-02_20:53:40.00,290.0,-98.49,-109.23,1
2016-08-02_20:53:40.00,292.0,-95.3,-91.77,3
2016-08-02_20:53:40.00,294.0,-93.07,-87.31,3
2016-08-02_20:53:40.00,296.0,-91.5,-87.87,3
2016-08-02_20:53:40.00,298.0,-92.11,-84.74,3
2016-08-02_20:53:40.00,300.0,-91.0,-86.48,3
2016-08-02_20:53:40.00,302.0,-92.98,-86.93,3
2016-08-02_20:53:40.00,304.0,-95.52,-89.57,3
2016-08-02_20:53:40.00,306.0,-91.02,-96.3,1
2016-08-02_20:53:40.00,308.0,-90.41,-85.27,3
2016-08-02_20:53:40.00,310.0,-101.45,-87.52,3
2016-08-02_20:53:40.00,312.0,-101.78,-85.67,3
2016-08-02_20:53:50.00,290.0,-93.02,-94.03,2
2016-08-02_20:53:50.00,292.0,-95.36,-97.83,2
2016-08-02_20:53:50.00,294.0,-92.28,-87.54,3
2016-08-02_20:53:50.00,296.0,-99.84,-95.07,3
2016-08-02_20:53:50.00,298.0,-89.99,-92.62,2
2016-08-02_20:53:50.00,300.0,-86.2,-86.1,2
2016-08-02_20:53:50.00,302.0,-91.93,-86.58,3
2016-08-02_20:53:50.00,304.0,-91.29,-87.1,3
2016-08-02_20:53:50.00,306.0,-84.34,-86.72,2
2016-08-02_20:53:50.00,308.0,-91.08,-82.34,3
2016-08-02_20:53:50.00,310.0,-91.89,-85.99,3
2016-08-02_20:53:50.00,312.0,-93.54,-86.83,3
2016-08-02_20:53:50.00,314.0,-89.36,-86.25,3
