DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-08-14_13:17:40.00,196.0,-93.95,-88.57,3
2016-08-14_13:17:40.00,198.0,-84.1,-88.86,1
2016-08-14_13:17:40.00,200.0,-96.13,-99.5,1
2016-08-14_13:17:40.00,202.0,-89.33,-86.59,2
2016-08-14_13:17:40.00,204.0,-91.2,-93.65,2
2016-08-14_13:17:40.00,206.0,-79.98,-82.65,2
2016-08-14_13:17:40.00,208.0,-93.36,-88.72,3
2016-08-14_13:17:40.00,210.0,-84.51,-90.12,1
2016-08-14_13:17:40.00,212.0,-81.34,-92.2,1
2016-08-14_13:17:40.00,214.0,-82.64,-88.4,1
2016-08-14_13:17:40.00,216.0,-82.63,-87.45,1
2016-08-14_13:17:40.00,218.0,-88.06,-91.4,1
2016-08-14_13:17:40.00,220.0,-93.32,-103.45,1
2016-08-14_13:17:40.00,222.0,-94.61,-85.93,3
2016-08-14_13:17:40.00,224.0,-84.67,-91.67,1
2016-08-14_13:17:40.00,226.0,-95.05,-98.57,1
2016-08-14_13:17:40.00,228.0,-91.22,-95.84,1
2016-08-14_13:17:40.00,230.0,-86.24,-86.47,2
2016-08-14_13:17:40.00,232.0,-87.28,-97.03,1
2016-08-14_13:17:40.00,234.0,-87.06,-89.41,2
2016-08-14_13:17:40.00,236.0,-87.36,-90.24,2
2016-08-14_13:17:40.00,238.0,-82.63,-87.4,1
2016-08-14_13:17:40.00,240.0,-90.31,-97.84,1
2016-08-14_13:17:40.00,242.0,-90.78,-92.97,2
2016-08-14_13:17:40.00,244.0,-89.38,-94.14,1
2016-08-14_13:17:40.00,246.0,-95.43,-97.87,2
2016-08-14_13:17:40.00,248.0,-89.0,-87.94,2
2016-08-14_13:17:40.00,250.0,-85.37,-87.2,2
2016-08-14_13:17:40.00,252.0,-86.59,-90.72,1
2016-08-14_13:17:40.00,254.0,-85.0,-91.31,1
2016-08-14_13:17:40.00,256.0,-93.89,-100.6,1
2016-08-14_13:17:50.00,210.0,-83.36,-86.23,2
2016-08-14_13:17:50.00,212.0,-87.27,-98.81,1
2016-08-14_13:17:50.00,214.0,-95.77,-105.26,1
2016-08-14_13:17:50.00,216.0,-92.44,-102.11,1
2016-08-14_13:17:50.00,218.0,-86.33,-88.9,2
2016-08-14_13:17:50.00,220.0,-85.16,-90.52,1
2016-08-14_13:17:50.00,222.0,-89.1,-83.52,3
2016-08-14_13:17:50.00,224.0,-94.68,-99.29,1
2016-08-14_13:17:50.00,226.0,-86.58,-98.83,1
2016-08-14_13:17:50.00,228.0,-85.86,-96.69,1
2016-08-14_13:17:50.00,230.0,-87.46,-90.19,2
2016-08-14_13:17:50.00,232.0,-85.64,-87.98,2
2016-08-14_13:17:50.00,234.0,-92.27,-94.56,2
2016-08-14_13:17:50.00,236.0,-81.15,-91.76,1
2016-08-14_13:17:50.00,238.0,-90.8,-88.7,2
2016-08-14_13:17:50.00,240.0,-85.73,-87.68,2
2016-08-14_13:17:50.00,242.0,-85.03,-88.52,1
2016-08-14_13:17:50.00,244.0,-89.97,-91.27,2
2016-08-14_13:17:50.00,246.0,-87.48,-91.19,1
2016-08-14_13:17:50.00,248.0,-93.13,-93.81,2
2016-08-14_13:17:50.00,250.0,-93.98,-93.03,2
2016-08-14_13:17:50.00,252.0,-83.15,-93.44,1
2016-08-14_13:17:50.00,254.0,-96.54,-99.83,1
2016-08-14_13:17:50.00,256.0,-90.86,-83.06,3
2016-08-14_13:18:00.00,220.0,-85.54,-91.9,1
2016-08-14_13:18:00.00,222.0,-90.77,-94.38,1
2016-08-14_13:18:00.00,224.0,-83.59,-95.36,1
2016-08-14_13:18:00.00,226.0,-93.42,-96.61,1
2016-08-14_13:18:00.00,228.0,-87.71,-89.51,2
2016-08-14_13:18:00.00,230.0,-87.05,-93.63,1
2016-08-14_13:18:00.00,232.0,-92.24,-86.47,3
2016-08-14_13:18:00.00,234.0,-85.65,-91.17,1
2016-08-14_13:18:00.00,236.0,-86.5,-86.99,2
2016-08-14_13:18:00.00,238.0,-88.61,-93.89,1
2016-08-14_13:18:00.00,240.0,-79.28,-82.67,1
2016-08-14_13:18:00.00,242.0,-93.28,-89.91,3
2016-08-14_13:18:00.00,244.0,-88.59,-95.77,1
2016-08-14_13:18:00.00,246.0,-88.17,-91.58,1
2016-08-14_13:18:00.00,248.0,-83.89,-86.17,2
2016-08-14_13:18:00.00,250.0,-83.21,-84.53,2
2016-08-14_13:18:00.00,252.0,-90.12,-88.01,2
2016-08-14_13:18:00.00,254.0,-90.48,-92.18,2
2016-08-14_13:18:00.00,256.0,-88.64,-90.34,2
2016-08-14_13:18:10.00,226.0,-87.25,-91.01,1
2016-08-14_13:18:10.00,228.0,-89.35,-87.66,2
2016-08-14_13:18:10.00,230.0,-85.93,-89.92,1
2016-08-14_13:18:10.00,232.0,-95.24,-94.32,2
