DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-08-14_19:11:00.00,414.0,-71.05,-75.42,1
2016-08-14_19:11:00.00,416.0,-72.01,-77.1,1
2016-08-14_19:11:00.00,418.0,-75.08,-77.62,2
2016-08-14_19:11:00.00,420.0,-75.62,-75.55,2
2016-08-14_19:11:00.00,422.0,-76.48,-73.04,3
2016-08-14_19:11:00.00,424.0,-76.17,-72.38,3
2016-08-14_19:11:00.00,426.0,-69.85,-70.29,2
2016-08-14_19:11:00.00,428.0,-71.67,-73.16,2
2016-08-14_19:11:00.00,430.0,-74.03,-74.93,2
2016-08-14_19:11:00.00,432.0,-78.27,-74.08,3
2016-08-14_19:11:00.00,434.0,-75.5,-74.48,2
2016-08-14_19:11:00.00,436.0,-75.19,-75.38,2
2016-08-14_19:11:00.00,438.0,-76.31,-70.79,3
2016-08-14_19:11:00.00,440.0,-73.19,-82.85,1
2016-08-14_19:11:00.00,442.0,-68.8,-75.21,1
2016-08-14_19:11:00.00,444.0,-73.13,-74.83,2
2016-08-14_19:11:00.00,446.0,-74.28,-75.8,2
2016-08-14_19:11:00.00,448.0,-75.34,-77.07,2
2016-08-14_19:11:00.00,450.0,-79.57,-78.53,2
2016-08-14_19:11:00.00,452.0,-82.4,-80.21,2
2016-08-14_19:11:00.00,454.0,-81.44,-75.39,3
2016-08-14_19:11:00.00,456.0,-74.17,-74.92,2
2016-08-14_19:11:00.00,458.0,-75.47,-83.48,1
2016-08-14_19:11:00.00,460.0,-75.6,-79.17,1
2016-08-14_19:11:00.00,462.0,-72.4,-83.32,1
2016-08-14_19:11:00.00,464.0,-75.39,-84.59,1
2016-08-14_19:11:00.00,466.0,-73.99,-79.5,1
2016-08-14_19:11:00.00,468.0,-72.99,-80.37,1
2016-08-14_19:11:00.00,470.0,-78.72,-81.11,2
2016-08-14_19:11:00.00,472.0,-76.85,-83.2,1
2016-08-14_19:11:00.00,474.0,-76.57,-82.31,1
2016-08-14_19:11:00.00,476.0,-76.74,-77.15,2
2016-08-14_19:11:00.00,478.0,-75.21,-79.16,1
2016-08-14_19:11:00.00,480.0,-68.01,-72.83,1
2016-08-14_19:11:00.00,482.0,-72.73,-74.03,2
2016-08-14_19:11:00.00,484.0,-68.27,-73.44,1
2016-08-14_19:11:00.00,486.0,-68.63,-71.89,1
2016-08-14_19:11:00.00,488.0,-73.21,-78.71,1
2016-08-14_19:11:00.00,490.0,-71.84,-72.6,2
2016-08-14_19:11:00.00,492.0,-74.48,-71.18,3
2016-08-14_19:11:00.00,494.0,-71.22,-77.43,1
2016-08-14_19:11:00.00,496.0,-70.45,-75.66,1
2016-08-14_19:11:00.00,498.0,-67.13,-74.49,1
2016-08-14_19:11:00.00,500.0,-64.58,-72.85,1
2016-08-14_19:11:00.00,502.0,-69.71,-75.65,1
2016-08-14_19:11:00.00,504.0,-68.74,-73.89,1
2016-08-14_19:11:00.00,506.0,-72.62,-75.4,2
2016-08-14_19:11:00.00,508.0,-71.82,-70.09,2
2016-08-14_19:11:00.00,510.0,-69.13,-76.89,1
2016-08-14_19:11:10.00,460.0,-73.8,-77.08,1
2016-08-14_19:11:10.00,462.0,-71.44,-82.42,1
2016-08-14_19:11:10.00,464.0,-76.45,-77.37,2
2016-08-14_19:11:10.00,466.0,-77.73,-78.57,2
2016-08-14_19:11:10.00,468.0,-75.5,-79.94,1
2016-08-14_19:11:10.00,470.0,-73.24,-77.35,1
2016-08-14_19:11:10.00,472.0,-72.09,-80.22,1
2016-08-14_19:11:10.00,474.0,-75.96,-78.87,2
2016-08-14_19:11:10.00,476.0,-70.94,-79.59,1
2016-08-14_19:11:10.00,478.0,-72.76,-76.06,1
2016-08-14_19:11:10.00,480.0,-73.77,-80.32,1
2016-08-14_19:11:10.00,482.0,-68.42,-75.67,1
2016-08-14_19:11:10.00,484.0,-67.9,-75.47,1
2016-08-14_19:11:10.00,486.0,-72.03,-72.86,2
2016-08-14_19:11:10.00,488.0,-65.58,-73.76,1
2016-08-14_19:11:10.00,490.0,-70.71,-79.45,1
2016-08-14_19:11:10.00,492.0,-71.45,-73.35,2
2016-08-14_19:11:10.00,494.0,-69.57,-73.49,1
2016-08-14_19:11:10.00,496.0,-68.27,-72.78,1
2016-08-14_19:11:10.00,498.0,-67.25,-73.35,1
2016-08-14_19:11:10.00,500.0,-66.37,-73.37,1
2016-08-14_19:11:10.00,502.0,-68.18,-71.44,1
2016-08-14_19:11:10.00,504.0,-70.81,-76.86,1
2016-08-14_19:11:10.00,506.0,-72.18,-74.6,2
2016-08-14_19:11:10.00,508.0,-72.91,-74.07,2
2016-08-14_19:11:10.00,510.0,-71.4,-74.4,1
2016-08-14_19:11:10.00,512.0,-71.0,-74.5,1
2016-08-14_19:11:10.00,514.0,-72.9,-74.37,2
2016-08-14_19:11:10.00,516.0,-71.98,-73.13,2
2016-08-14_19:11:10.00,518.0,-70.14,-76.99,1
2016-08-14_19:11:10.00,520.0,-74.99,-74.37,2
2016-08-14_19:11:10.00,522.0,-68.39,-72.34,1
2016-08-14_19:11:10.00,524.0,-72.23,-74.88,2
2016-08-14_19:11:10.00,526.0,-66.62,-76.2,1
2016-08-14_19:11:10.00,528.0,-68.65,-75.87,1
2016-08-14_19:11:20.00,502.0,-66.69,-72.11,1
2016-08-14_19:11:20.00,504.0,-69.46,-74.05,1
2016-08-14_19:11:20.00,506.0,-70.22,-73.22,2
2016-08-14_19:11:20.00,508.0,-76.04,-71.29,3
2016-08-14_19:11:20.00,510.0,-65.19,-72.23,1
2016-08-14_19:11:20.00,512.0,-68.42,-74.7,1
2016-08-14_19:11:20.00,514.0,-69.94,-74.1,1
2016-08-14_19:11:20.00,516.0,-71.91,-72.99,2
2016-08-14_19:11:20.00,518.0,-69.45,-75.21,1
2016-08-14_19:11:20.00,520.0,-69.64,-74.73,1
2016-08-14_19:11:20.00,522.0,-68.88,-73.63,1
2016-08-14_19:11:20.00,524.0,-70.69,-79.53,1
2016-08-14_19:11:20.00,526.0,-79.14,-76.29,2
2016-08-14_19:11:20.00,528.0,-73.33,-70.6,2
2016-08-14_19:11:20.00,530.0,-68.0,-72.82,1
2016-08-14_19:11:20.00,532.0,-70.71,-73.62,2
2016-08-14_19:11:20.00,534.0,-68.71,-72.3,1
2016-08-14_19:11:20.00,536.0,-74.04,-75.72,2
2016-08-14_19:11:20.00,538.0,-71.47,-76.59,1
2016-08-14_19:11:20.00,540.0,-68.81,-68.25,2
2016-08-14_19:11:20.00,542.0,-70.77,-72.09,2
2016-08-14_19:11:20.00,544.0,-73.05,-71.01,2
2016-08-14_19:11:20.00,546.0,-72.89,-67.55,3
2016-08-14_19:11:20.00,548.0,-75.75,-77.19,2
2016-08-14_19:11:20.00,550.0,-73.36,-75.5,2
2016-08-14_19:11:20.00,552.0,-75.63,-69.97,3
2016-08-14_19:11:30.00,528.0,-73.19,-74.37,2
2016-08-14_19:11:30.00,530.0,-69.05,-73.03,1
2016-08-14_19:11:30.00,532.0,-70.58,-74.61,1
2016-08-14_19:11:30.00,534.0,-67.18,-72.66,1
2016-08-14_19:11:30.00,536.0,-66.13,-74.06,1
2016-08-14_19:11:30.00,538.0,-65.87,-73.29,1
2016-08-14_19:11:30.00,540.0,-67.01,-70.02,1
2016-08-14_19:11:30.00,542.0,-72.96,-74.67,2
