DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-19_17:47:40.00,278.0,-89.76,-91.53,2
2016-07-19_17:47:40.00,280.0,-100.91,-103.84,2
2016-07-19_17:47:40.00,282.0,-98.45,-99.39,2
2016-07-19_17:47:40.00,284.0,-91.52,-83.6,3
2016-07-19_17:47:40.00,286.0,-94.08,-94.36,2
2016-07-19_17:47:40.00,288.0,-94.09,-97.17,1
2016-07-19_17:47:40.00,290.0,-91.19,-96.19,1
2016-07-19_17:47:40.00,292.0,-89.0,-94.58,1
2016-07-19_17:47:40.00,294.0,-97.25,-89.32,3
2016-07-19_17:47:40.00,296.0,-92.74,-86.71,3
2016-07-19_17:47:40.00,298.0,-100.7,-105.12,1
2016-07-19_17:47:40.00,300.0,-100.05,-97.0,3
2016-07-19_17:47:40.00,302.0,-92.35,-104.53,1
2016-07-19_17:47:40.00,304.0,-98.46,-93.96,3
2016-07-19_17:47:40.00,306.0,-95.02,-104.0,1
2016-07-19_17:47:40.00,308.0,-103.5,-88.77,3
2016-07-19_17:47:40.00,310.0,-91.89,-92.08,2
2016-07-19_17:47:40.00,312.0,-87.95,-99.88,1
2016-07-19_17:47:40.00,314.0,-87.68,-97.02,1
2016-07-19_17:47:40.00,316.0,-79.56,-89.72,1
2016-07-19_17:47:40.00,318.0,-92.58,-94.46,2
2016-07-19_17:47:40.00,320.0,-85.56,-86.52,2
2016-07-19_17:47:40.00,322.0,-84.62,-83.83,2
2016-07-19_17:47:40.00,324.0,-90.18,-87.9,2
2016-07-19_17:47:40.00,326.0,-88.89,-96.19,1
2016-07-19_17:47:40.00,328.0,-86.56,-84.5,2
2016-07-19_17:47:40.00,330.0,-90.15,-82.19,3
2016-07-19_17:47:40.00,332.0,-87.85,-83.01,3
2016-07-19_17:47:40.00,334.0,-92.31,-88.47,3
2016-07-19_17:47:40.00,336.0,-86.65,-89.54,2
2016-07-19_17:47:40.00,338.0,-91.89,-85.38,3
2016-07-19_17:47:40.00,340.0,-92.65,-93.78,2
2016-07-19_17:47:40.00,342.0,-85.6,-82.61,2
2016-07-19_17:47:40.00,344.0,-90.25,-86.6,3
2016-07-19_17:47:40.00,346.0,-84.24,-86.08,2
2016-07-19_17:47:40.00,348.0,-83.28,-85.37,2
2016-07-19_17:47:40.00,350.0,-82.0,-82.64,2
2016-07-19_17:47:40.00,352.0,-81.41,-79.94,2
2016-07-19_17:47:40.00,354.0,-84.08,-85.64,2
2016-07-19_17:47:40.00,356.0,-86.47,-89.72,1
2016-07-19_17:47:40.00,358.0,-85.73,-80.41,3
2016-07-19_17:47:40.00,360.0,-78.5,-80.3,2
2016-07-19_17:47:50.00,278.0,-98.7,-98.57,2
