DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-25_21:28:40.00,544.0,-85.25,-70.33,3
2016-07-25_21:28:40.00,546.0,-79.46,-68.87,3
2016-07-25_21:28:40.00,548.0,-78.64,-73.23,3
2016-07-25_21:28:40.00,550.0,-80.92,-71.4,3
2016-07-25_21:28:40.00,552.0,-81.84,-72.29,3
2016-07-25_21:28:40.00,554.0,-79.24,-70.33,3
2016-07-25_21:28:40.00,556.0,-79.77,-70.15,3
2016-07-25_21:28:40.00,558.0,-83.62,-68.66,3
2016-07-25_21:28:40.00,560.0,-81.15,-72.17,3
2016-07-25_21:28:40.00,562.0,-83.23,-71.98,3
2016-07-25_21:28:40.00,564.0,-84.4,-69.45,3
2016-07-25_21:28:40.00,566.0,-86.24,-68.39,3
2016-07-25_21:28:40.00,568.0,-80.86,-66.35,3
2016-07-25_21:28:40.00,570.0,-82.97,-68.64,3
2016-07-25_21:28:40.00,572.0,-81.81,-68.72,3
2016-07-25_21:28:40.00,574.0,-82.5,-71.05,3
2016-07-25_21:28:40.00,576.0,-82.9,-70.98,3
2016-07-25_21:28:40.00,578.0,-81.34,-75.57,3
2016-07-25_21:28:40.00,580.0,-78.47,-72.95,3
2016-07-25_21:28:40.00,582.0,-81.28,-73.61,3
2016-07-25_21:28:40.00,584.0,-82.88,-77.08,3
2016-07-25_21:28:40.00,586.0,-81.85,-75.19,3
2016-07-25_21:28:40.00,588.0,-82.5,-73.87,3
2016-07-25_21:28:40.00,590.0,-80.9,-76.38,3
2016-07-25_21:28:40.00,592.0,-86.16,-76.69,3
2016-07-25_21:28:40.00,594.0,-83.11,-75.95,3
2016-07-25_21:28:40.00,596.0,-83.59,-76.58,3
2016-07-25_21:28:40.00,598.0,-80.95,-76.43,3
2016-07-25_21:28:40.00,600.0,-78.94,-76.31,2
2016-07-25_21:28:40.00,602.0,-84.94,-77.22,3
2016-07-25_21:28:40.00,604.0,-82.12,-76.92,3
2016-07-25_21:28:40.00,606.0,-82.87,-80.58,2
2016-07-25_21:28:40.00,608.0,-79.9,-77.09,2
2016-07-25_21:28:40.00,610.0,-79.11,-76.23,2
2016-07-25_21:28:40.00,612.0,-79.58,-75.71,3
2016-07-25_21:28:40.00,614.0,-78.18,-74.64,3
2016-07-25_21:28:40.00,616.0,-79.33,-74.47,3
2016-07-25_21:28:40.00,618.0,-75.05,-78.5,1
2016-07-25_21:28:40.00,620.0,-80.02,-76.7,3
2016-07-25_21:28:40.00,622.0,-80.21,-78.43,2
2016-07-25_21:28:40.00,624.0,-78.66,-75.34,3
2016-07-25_21:28:40.00,626.0,-80.52,-77.97,2
2016-07-25_21:28:40.00,628.0,-82.12,-79.76,2
2016-07-25_21:28:40.00,630.0,-84.2,-77.66,3
2016-07-25_21:28:40.00,632.0,-79.1,-84.36,1
2016-07-25_21:28:40.00,634.0,-82.55,-78.08,3
2016-07-25_21:28:40.00,636.0,-81.87,-82.69,2
2016-07-25_21:28:40.00,638.0,-81.08,-77.11,3
2016-07-25_21:28:40.00,640.0,-79.23,-80.09,2
2016-07-25_21:28:40.00,642.0,-78.15,-77.47,2
2016-07-25_21:28:40.00,644.0,-71.51,-77.8,1
2016-07-25_21:28:40.00,646.0,-75.31,-78.14,2
2016-07-25_21:28:40.00,648.0,-79.96,-82.85,2
2016-07-25_21:28:40.00,650.0,-75.84,-81.57,1
2016-07-25_21:28:40.00,652.0,-79.3,-84.02,1
2016-07-25_21:28:40.00,654.0,-83.79,-80.05,3
2016-07-25_21:28:40.00,656.0,-85.11,-80.59,3
2016-07-25_21:28:40.00,658.0,-83.31,-82.36,2
2016-07-25_21:28:40.00,660.0,-82.33,-79.21,3
2016-07-25_21:28:40.00,662.0,-80.64,-80.35,2
2016-07-25_21:28:40.00,664.0,-83.33,-81.38,2
2016-07-25_21:28:40.00,666.0,-78.45,-76.26,2
2016-07-25_21:28:40.00,668.0,-82.1,-75.9,3
2016-07-25_21:28:50.00,562.0,-84.81,-68.82,3
2016-07-25_21:28:50.00,564.0,-86.6,-72.19,3
2016-07-25_21:28:50.00,566.0,-84.92,-69.02,3
2016-07-25_21:28:50.00,568.0,-82.09,-75.71,3
2016-07-25_21:28:50.00,570.0,-84.36,-68.72,3
2016-07-25_21:28:50.00,572.0,-81.27,-76.35,3
2016-07-25_21:28:50.00,574.0,-83.26,-72.2,3
2016-07-25_21:28:50.00,576.0,-79.99,-74.13,3
2016-07-25_21:28:50.00,578.0,-81.46,-76.7,3
2016-07-25_21:28:50.00,580.0,-80.54,-73.76,3
2016-07-25_21:28:50.00,582.0,-85.58,-77.06,3
2016-07-25_21:28:50.00,584.0,-84.4,-77.52,3
2016-07-25_21:28:50.00,586.0,-86.48,-72.94,3
2016-07-25_21:28:50.00,588.0,-81.89,-74.96,3
2016-07-25_21:28:50.00,590.0,-84.22,-78.84,3
2016-07-25_21:28:50.00,592.0,-87.58,-75.92,3
2016-07-25_21:28:50.00,594.0,-82.96,-75.29,3
2016-07-25_21:28:50.00,596.0,-79.48,-79.01,2
2016-07-25_21:28:50.00,598.0,-85.09,-79.06,3
2016-07-25_21:28:50.00,600.0,-85.72,-79.77,3
2016-07-25_21:28:50.00,602.0,-81.13,-78.06,3
2016-07-25_21:28:50.00,604.0,-82.46,-74.49,3
2016-07-25_21:28:50.00,606.0,-83.11,-78.93,3
2016-07-25_21:28:50.00,608.0,-77.63,-78.77,2
2016-07-25_21:28:50.00,610.0,-78.12,-76.8,2
2016-07-25_21:28:50.00,612.0,-78.37,-76.47,2
2016-07-25_21:28:50.00,614.0,-80.76,-76.79,3
2016-07-25_21:28:50.00,616.0,-80.88,-80.65,2
2016-07-25_21:28:50.00,618.0,-75.29,-77.64,2
2016-07-25_21:28:50.00,620.0,-77.28,-77.05,2
2016-07-25_21:28:50.00,622.0,-82.82,-77.65,3
2016-07-25_21:28:50.00,624.0,-78.56,-75.33,3
2016-07-25_21:28:50.00,626.0,-81.74,-77.61,3
2016-07-25_21:28:50.00,628.0,-79.62,-74.59,3
2016-07-25_21:28:50.00,630.0,-83.76,-80.84,2
2016-07-25_21:28:50.00,632.0,-82.32,-79.51,2
2016-07-25_21:28:50.00,634.0,-82.62,-76.77,3
2016-07-25_21:28:50.00,636.0,-79.57,-79.82,2
2016-07-25_21:28:50.00,638.0,-76.86,-75.05,2
2016-07-25_21:28:50.00,640.0,-78.43,-78.02,2
2016-07-25_21:28:50.00,642.0,-76.6,-78.12,2
2016-07-25_21:28:50.00,644.0,-73.69,-72.04,2
2016-07-25_21:28:50.00,646.0,-71.97,-78.25,1
