DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-07_19:49:00.00,448.0,-76.54,-65.64,3
2016-07-07_19:49:00.00,450.0,-73.72,-61.91,3
2016-07-07_19:49:00.00,452.0,-73.74,-69.43,3
2016-07-07_19:49:00.00,454.0,-73.52,-62.94,3
2016-07-07_19:49:00.00,456.0,-76.69,-64.1,3
2016-07-07_19:49:00.00,458.0,-68.64,-64.29,3
2016-07-07_19:49:00.00,460.0,-70.34,-72.16,2
2016-07-07_19:49:00.00,462.0,-73.05,-65.05,3
2016-07-07_19:49:00.00,464.0,-73.73,-69.03,3
2016-07-07_19:49:00.00,466.0,-72.03,-71.15,2
2016-07-07_19:49:00.00,468.0,-68.26,-67.86,2
2016-07-07_19:49:00.00,470.0,-69.98,-72.14,2
2016-07-07_19:49:00.00,472.0,-72.71,-65.87,3
2016-07-07_19:49:00.00,474.0,-74.13,-70.33,3
2016-07-07_19:49:00.00,476.0,-71.74,-73.67,2
2016-07-07_19:49:00.00,478.0,-74.45,-68.11,3
2016-07-07_19:49:00.00,480.0,-71.99,-70.64,2
2016-07-07_19:49:00.00,482.0,-71.69,-67.01,3
2016-07-07_19:49:00.00,484.0,-73.21,-71.25,2
2016-07-07_19:49:00.00,486.0,-74.26,-65.44,3
2016-07-07_19:49:00.00,488.0,-74.38,-68.65,3
2016-07-07_19:49:00.00,490.0,-70.93,-66.51,3
2016-07-07_19:49:00.00,492.0,-75.95,-67.68,3
2016-07-07_19:49:00.00,494.0,-66.9,-61.96,3
2016-07-07_19:49:00.00,496.0,-68.91,-68.07,2
2016-07-07_19:49:00.00,498.0,-71.64,-67.43,3
2016-07-07_19:49:00.00,500.0,-67.67,-63.94,3
2016-07-07_19:49:00.00,502.0,-71.34,-62.11,3
2016-07-07_19:49:00.00,504.0,-68.4,-63.78,3
2016-07-07_19:49:00.00,506.0,-69.85,-66.62,3
2016-07-07_19:49:00.00,508.0,-71.5,-64.7,3
2016-07-07_19:49:00.00,510.0,-74.02,-70.73,3
2016-07-07_19:49:00.00,512.0,-71.48,-67.28,3
2016-07-07_19:49:00.00,514.0,-73.44,-69.41,3
2016-07-07_19:49:00.00,516.0,-75.49,-67.32,3
2016-07-07_19:49:00.00,518.0,-72.97,-64.96,3
2016-07-07_19:49:00.00,520.0,-72.8,-72.55,2
2016-07-07_19:49:00.00,522.0,-71.1,-71.37,2
2016-07-07_19:49:00.00,524.0,-70.51,-69.98,2
2016-07-07_19:49:00.00,526.0,-67.61,-68.3,2
2016-07-07_19:49:00.00,528.0,-74.31,-67.16,3
2016-07-07_19:49:00.00,530.0,-72.82,-66.11,3
2016-07-07_19:49:10.00,446.0,-74.25,-67.13,3
2016-07-07_19:49:10.00,448.0,-74.99,-66.13,3
2016-07-07_19:49:10.00,450.0,-75.93,-66.6,3
2016-07-07_19:49:10.00,452.0,-72.19,-61.96,3
2016-07-07_19:49:10.00,454.0,-70.76,-68.99,2
2016-07-07_19:49:10.00,456.0,-72.0,-68.68,3
2016-07-07_19:49:10.00,458.0,-74.63,-66.94,3
2016-07-07_19:49:10.00,460.0,-72.71,-68.78,3
2016-07-07_19:49:10.00,462.0,-73.44,-71.7,2
2016-07-07_19:49:10.00,464.0,-70.54,-72.15,2
2016-07-07_19:49:10.00,466.0,-75.07,-67.84,3
2016-07-07_19:49:10.00,468.0,-69.13,-71.4,2
2016-07-07_19:49:10.00,470.0,-72.53,-68.86,3
2016-07-07_19:49:10.00,472.0,-75.18,-68.71,3
2016-07-07_19:49:10.00,474.0,-71.88,-70.09,2
2016-07-07_19:49:10.00,476.0,-73.28,-67.87,3
2016-07-07_19:49:10.00,478.0,-74.35,-69.04,3
2016-07-07_19:49:10.00,480.0,-74.43,-66.07,3
2016-07-07_19:49:10.00,482.0,-71.71,-69.3,2
2016-07-07_19:49:10.00,484.0,-72.07,-67.26,3
2016-07-07_19:49:10.00,486.0,-73.18,-65.88,3
2016-07-07_19:49:10.00,488.0,-73.83,-65.99,3
2016-07-07_19:49:10.00,490.0,-71.7,-67.85,3
2016-07-07_19:49:10.00,492.0,-68.54,-63.96,3
2016-07-07_19:49:10.00,494.0,-71.86,-65.0,3
2016-07-07_19:49:10.00,496.0,-66.22,-66.64,2
2016-07-07_19:49:10.00,498.0,-70.49,-65.98,3
2016-07-07_19:49:10.00,500.0,-70.73,-65.26,3
2016-07-07_19:49:10.00,502.0,-69.78,-64.65,3
2016-07-07_19:49:10.00,504.0,-72.17,-63.3,3
2016-07-07_19:49:10.00,506.0,-68.51,-64.97,3
2016-07-07_19:49:10.00,508.0,-73.76,-66.7,3
2016-07-07_19:49:10.00,510.0,-73.27,-65.52,3
2016-07-07_19:49:10.00,512.0,-72.24,-66.22,3
2016-07-07_19:49:20.00,444.0,-74.08,-71.49,2
2016-07-07_19:49:20.00,446.0,-72.26,-73.9,2
2016-07-07_19:49:20.00,448.0,-75.18,-73.52,2
2016-07-07_19:49:20.00,450.0,-72.97,-65.91,3
2016-07-07_19:49:20.00,452.0,-73.18,-65.88,3
2016-07-07_19:49:20.00,454.0,-70.16,-62.35,3
2016-07-07_19:49:20.00,456.0,-77.23,-72.05,3
2016-07-07_19:49:20.00,458.0,-71.3,-65.73,3
2016-07-07_19:49:20.00,460.0,-76.65,-69.05,3
2016-07-07_19:49:20.00,462.0,-72.84,-68.27,3
2016-07-07_19:49:20.00,464.0,-75.1,-70.26,3
2016-07-07_19:49:20.00,466.0,-77.4,-65.32,3
2016-07-07_19:49:20.00,468.0,-77.73,-71.78,3
2016-07-07_19:49:20.00,470.0,-69.78,-65.82,3
2016-07-07_19:49:20.00,472.0,-71.2,-64.95,3
2016-07-07_19:49:20.00,474.0,-73.17,-67.1,3
2016-07-07_19:49:20.00,476.0,-72.3,-71.21,2
2016-07-07_19:49:20.00,478.0,-71.21,-69.94,2
2016-07-07_19:49:20.00,480.0,-70.1,-69.43,2
2016-07-07_19:49:20.00,482.0,-74.75,-75.81,2
2016-07-07_19:49:20.00,484.0,-77.46,-74.03,3
2016-07-07_19:49:20.00,486.0,-72.24,-64.36,3
2016-07-07_19:49:20.00,488.0,-74.95,-68.27,3
2016-07-07_19:49:20.00,490.0,-69.85,-65.34,3
2016-07-07_19:49:20.00,492.0,-73.77,-66.86,3
2016-07-07_19:49:20.00,494.0,-70.69,-68.52,2
2016-07-07_19:49:20.00,496.0,-72.59,-74.1,2
2016-07-07_19:49:30.00,436.0,-72.2,-73.67,2
2016-07-07_19:49:30.00,438.0,-73.85,-73.57,2
2016-07-07_19:49:30.00,440.0,-74.47,-70.95,3
2016-07-07_19:49:30.00,442.0,-78.52,-69.74,3
2016-07-07_19:49:30.00,444.0,-74.11,-68.43,3
2016-07-07_19:49:30.00,446.0,-75.53,-71.78,3
2016-07-07_19:49:30.00,448.0,-73.43,-65.56,3
2016-07-07_19:49:30.00,450.0,-73.56,-71.95,2
2016-07-07_19:49:30.00,452.0,-69.5,-73.86,1
2016-07-07_19:49:30.00,454.0,-71.65,-63.53,3
2016-07-07_19:49:30.00,456.0,-71.88,-65.48,3
2016-07-07_19:49:30.00,458.0,-68.95,-65.38,3
2016-07-07_19:49:30.00,460.0,-77.7,-67.95,3
2016-07-07_19:49:30.00,462.0,-77.47,-64.97,3
2016-07-07_19:49:30.00,464.0,-73.85,-68.89,3
2016-07-07_19:49:30.00,466.0,-71.57,-64.48,3
2016-07-07_19:49:30.00,468.0,-74.33,-69.31,3
2016-07-07_19:49:30.00,470.0,-74.79,-67.3,3
2016-07-07_19:49:30.00,472.0,-71.83,-69.86,2
2016-07-07_19:49:30.00,474.0,-71.17,-68.04,3
2016-07-07_19:49:30.00,476.0,-71.47,-73.54,2
2016-07-07_19:49:40.00,434.0,-74.26,-72.42,2
2016-07-07_19:49:40.00,436.0,-69.79,-69.51,2
2016-07-07_19:49:40.00,438.0,-70.9,-71.42,2
2016-07-07_19:49:40.00,440.0,-70.69,-72.76,2
2016-07-07_19:49:40.00,442.0,-76.76,-71.81,3
2016-07-07_19:49:40.00,444.0,-70.62,-72.19,2
2016-07-07_19:49:40.00,446.0,-80.42,-69.48,3
2016-07-07_19:49:40.00,448.0,-74.86,-71.48,3
2016-07-07_19:49:40.00,450.0,-71.48,-67.88,3
2016-07-07_19:49:40.00,452.0,-71.79,-75.9,1
2016-07-07_19:49:40.00,454.0,-73.34,-62.6,3
2016-07-07_19:49:40.00,456.0,-73.76,-65.51,3
2016-07-07_19:49:40.00,458.0,-74.78,-64.66,3
2016-07-07_19:49:40.00,460.0,-72.25,-65.96,3
2016-07-07_19:49:40.00,462.0,-73.86,-66.97,3
2016-07-07_19:49:40.00,464.0,-74.65,-69.12,3
2016-07-07_19:49:40.00,466.0,-76.16,-65.63,3
2016-07-07_19:49:40.00,468.0,-70.33,-65.83,3
2016-07-07_19:49:40.00,470.0,-75.68,-65.78,3
2016-07-07_19:49:40.00,472.0,-70.74,-67.79,2
2016-07-07_19:49:40.00,474.0,-70.31,-69.61,2
2016-07-07_19:49:50.00,428.0,-74.84,-73.68,2
2016-07-07_19:49:50.00,430.0,-74.55,-74.13,2
2016-07-07_19:49:50.00,432.0,-75.17,-74.11,2
2016-07-07_19:49:50.00,434.0,-73.13,-71.66,2
2016-07-07_19:49:50.00,436.0,-68.71,-69.39,2
2016-07-07_19:49:50.00,438.0,-71.44,-67.42,3
2016-07-07_19:49:50.00,440.0,-68.74,-69.14,2
2016-07-07_19:49:50.00,442.0,-74.19,-72.82,2
2016-07-07_19:49:50.00,444.0,-71.05,-69.77,2
2016-07-07_19:49:50.00,446.0,-71.17,-67.5,3
2016-07-07_19:49:50.00,448.0,-73.27,-69.08,3
2016-07-07_19:49:50.00,450.0,-77.1,-69.4,3
2016-07-07_19:49:50.00,452.0,-75.95,-66.98,3
2016-07-07_19:49:50.00,454.0,-72.0,-68.13,3
2016-07-07_19:49:50.00,456.0,-73.39,-64.22,3
2016-07-07_19:49:50.00,458.0,-71.28,-67.19,3
2016-07-07_19:49:50.00,460.0,-72.78,-64.42,3
2016-07-07_19:49:50.00,462.0,-71.74,-68.2,3
2016-07-07_19:49:50.00,464.0,-69.98,-67.68,2
2016-07-07_19:49:50.00,466.0,-71.5,-67.75,3
2016-07-07_19:50:00.00,422.0,-68.17,-75.31,1
2016-07-07_19:50:00.00,424.0,-72.9,-76.15,1
2016-07-07_19:50:00.00,426.0,-71.88,-74.36,2
2016-07-07_19:50:00.00,428.0,-72.32,-77.55,1
2016-07-07_19:50:00.00,430.0,-68.54,-75.08,1
2016-07-07_19:50:00.00,432.0,-69.92,-73.87,1
2016-07-07_19:50:00.00,434.0,-72.55,-79.11,1
2016-07-07_19:50:00.00,436.0,-71.38,-75.13,1
2016-07-07_19:50:00.00,438.0,-68.22,-65.98,2
2016-07-07_19:50:00.00,440.0,-72.08,-73.97,2
2016-07-07_19:50:00.00,442.0,-69.5,-77.29,1
2016-07-07_19:50:00.00,444.0,-73.71,-72.91,2
2016-07-07_19:50:00.00,446.0,-70.45,-69.91,2
2016-07-07_19:50:00.00,448.0,-72.34,-67.91,3
2016-07-07_19:50:00.00,450.0,-76.34,-69.91,3
2016-07-07_19:50:00.00,452.0,-71.65,-67.15,3
2016-07-07_19:50:00.00,454.0,-73.68,-72.48,2
2016-07-07_19:50:00.00,456.0,-74.81,-70.11,3
2016-07-07_19:50:00.00,458.0,-73.95,-65.3,3
2016-07-07_19:50:10.00,416.0,-70.88,-78.39,1
2016-07-07_19:50:10.00,418.0,-68.69,-78.65,1
