DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-07_20:18:50.00,672.0,-77.72,-74.74,2
2016-07-07_20:18:50.00,674.0,-76.52,-77.95,2
2016-07-07_20:18:50.00,676.0,-79.44,-78.25,2
2016-07-07_20:18:50.00,678.0,-77.5,-80.74,1
2016-07-07_20:18:50.00,680.0,-80.65,-79.62,2
2016-07-07_20:18:50.00,682.0,-76.33,-76.51,2
2016-07-07_20:18:50.00,684.0,-75.13,-78.66,1
2016-07-07_20:18:50.00,686.0,-77.51,-78.07,2
2016-07-07_20:18:50.00,688.0,-75.17,-75.42,2
2016-07-07_20:18:50.00,690.0,-74.11,-77.49,1
2016-07-07_20:18:50.00,692.0,-74.85,-78.61,1
2016-07-07_20:18:50.00,694.0,-74.99,-76.56,2
2016-07-07_20:18:50.00,696.0,-78.42,-77.53,2
2016-07-07_20:18:50.00,698.0,-73.68,-79.88,1
2016-07-07_20:18:50.00,700.0,-78.19,-82.31,1
2016-07-07_20:18:50.00,702.0,-76.5,-81.81,1
2016-07-07_20:18:50.00,704.0,-72.0,-78.58,1
2016-07-07_20:18:50.00,706.0,-74.93,-78.65,1
2016-07-07_20:18:50.00,708.0,-75.5,-82.85,1
2016-07-07_20:18:50.00,710.0,-78.79,-85.04,1
2016-07-07_20:18:50.00,712.0,-80.41,-82.23,2
2016-07-07_20:18:50.00,714.0,-70.01,-83.15,1
2016-07-07_20:18:50.00,716.0,-75.14,-81.35,1
2016-07-07_20:18:50.00,718.0,-71.96,-80.57,1
2016-07-07_20:18:50.00,720.0,-76.62,-84.18,1
2016-07-07_20:18:50.00,722.0,-79.62,-85.66,1
2016-07-07_20:18:50.00,724.0,-80.31,-80.75,2
2016-07-07_20:18:50.00,726.0,-76.81,-80.64,1
2016-07-07_20:18:50.00,728.0,-79.29,-81.01,2
2016-07-07_20:18:50.00,730.0,-75.27,-82.15,1
2016-07-07_20:18:50.00,732.0,-74.17,-81.94,1
2016-07-07_20:18:50.00,734.0,-77.71,-83.03,1
2016-07-07_20:18:50.00,736.0,-81.79,-78.44,3
2016-07-07_20:18:50.00,738.0,-84.83,-80.49,3
2016-07-07_20:18:50.00,740.0,-86.36,-82.2,3
2016-07-07_20:18:50.00,742.0,-83.61,-81.84,2
2016-07-07_20:18:50.00,744.0,-81.55,-82.9,2
2016-07-07_20:18:50.00,746.0,-78.48,-84.59,1
2016-07-07_20:18:50.00,748.0,-86.64,-80.18,3
2016-07-07_20:18:50.00,750.0,-81.14,-82.28,2
2016-07-07_20:18:50.00,752.0,-77.11,-80.14,1
2016-07-07_20:18:50.00,754.0,-83.92,-81.92,2
2016-07-07_20:18:50.00,756.0,-78.15,-84.36,1
2016-07-07_20:18:50.00,758.0,-79.7,-86.64,1
2016-07-07_20:19:00.00,682.0,-79.19,-83.61,1
2016-07-07_20:19:00.00,684.0,-79.3,-80.32,2
2016-07-07_20:19:00.00,686.0,-77.73,-79.15,2
2016-07-07_20:19:00.00,688.0,-74.81,-76.61,2
2016-07-07_20:19:00.00,690.0,-79.19,-79.9,2
2016-07-07_20:19:00.00,692.0,-72.83,-78.98,1
2016-07-07_20:19:00.00,694.0,-75.51,-74.36,2
2016-07-07_20:19:00.00,696.0,-75.4,-80.18,1
2016-07-07_20:19:00.00,698.0,-75.8,-78.33,2
2016-07-07_20:19:00.00,700.0,-79.66,-81.65,2
2016-07-07_20:19:00.00,702.0,-73.11,-80.22,1
2016-07-07_20:19:00.00,704.0,-75.87,-79.44,1
2016-07-07_20:19:00.00,706.0,-75.31,-81.4,1
2016-07-07_20:19:00.00,708.0,-78.89,-82.73,1
2016-07-07_20:19:00.00,710.0,-70.28,-76.28,1
2016-07-07_20:19:00.00,712.0,-74.53,-79.62,1
2016-07-07_20:19:00.00,714.0,-74.4,-82.27,1
2016-07-07_20:19:00.00,716.0,-76.76,-85.56,1
2016-07-07_20:19:00.00,718.0,-78.55,-85.89,1
2016-07-07_20:19:00.00,720.0,-82.24,-85.94,1
2016-07-07_20:19:00.00,722.0,-78.96,-81.28,2
2016-07-07_20:19:00.00,724.0,-75.25,-84.51,1
2016-07-07_20:19:00.00,726.0,-79.76,-81.22,2
2016-07-07_20:19:00.00,728.0,-78.96,-78.19,2
2016-07-07_20:19:00.00,730.0,-76.62,-82.19,1
2016-07-07_20:19:00.00,732.0,-81.06,-86.04,1
2016-07-07_20:19:00.00,734.0,-78.09,-80.12,2
2016-07-07_20:19:00.00,736.0,-74.94,-82.91,1
2016-07-07_20:19:00.00,738.0,-80.41,-82.83,2
2016-07-07_20:19:10.00,690.0,-75.82,-84.07,1
2016-07-07_20:19:10.00,692.0,-75.21,-79.55,1
2016-07-07_20:19:10.00,694.0,-76.12,-80.59,1
2016-07-07_20:19:10.00,696.0,-76.4,-79.97,1
2016-07-07_20:19:10.00,698.0,-77.72,-77.02,2
2016-07-07_20:19:10.00,700.0,-75.31,-79.42,1
2016-07-07_20:19:10.00,702.0,-77.01,-83.11,1
2016-07-07_20:19:10.00,704.0,-77.32,-79.74,2
2016-07-07_20:19:10.00,706.0,-76.01,-77.82,2
2016-07-07_20:19:10.00,708.0,-77.36,-80.64,1
