DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-25_20:29:10.00,202.0,-85.01,-82.26,2
2016-07-25_20:29:10.00,204.0,-82.39,-80.37,2
2016-07-25_20:29:10.00,206.0,-88.33,-83.08,3
2016-07-25_20:29:10.00,208.0,-81.48,-87.67,1
2016-07-25_20:29:10.00,210.0,-88.68,-88.49,2
2016-07-25_20:29:10.00,212.0,-89.74,-89.51,2
2016-07-25_20:29:10.00,214.0,-92.5,-91.57,2
2016-07-25_20:29:10.00,216.0,-86.21,-83.63,2
2016-07-25_20:29:10.00,218.0,-90.02,-89.49,2
2016-07-25_20:29:10.00,220.0,-87.09,-90.63,1
2016-07-25_20:29:10.00,222.0,-90.15,-87.23,2
2016-07-25_20:29:10.00,224.0,-89.26,-83.3,3
2016-07-25_20:29:10.00,226.0,-87.06,-86.43,2
2016-07-25_20:29:10.00,228.0,-87.48,-89.32,2
2016-07-25_20:29:10.00,230.0,-94.77,-89.23,3
2016-07-25_20:29:10.00,232.0,-90.89,-87.84,3
2016-07-25_20:29:10.00,234.0,-86.2,-83.55,2
2016-07-25_20:29:10.00,236.0,-90.83,-84.2,3
2016-07-25_20:29:10.00,238.0,-90.5,-90.53,2
2016-07-25_20:29:10.00,240.0,-88.52,-84.08,3
2016-07-25_20:29:10.00,242.0,-84.15,-83.91,2
2016-07-25_20:29:10.00,244.0,-87.83,-88.04,2
2016-07-25_20:29:10.00,246.0,-90.5,-87.52,2
2016-07-25_20:29:10.00,248.0,-86.04,-90.71,1
2016-07-25_20:29:10.00,250.0,-85.89,-89.92,1
2016-07-25_20:29:10.00,252.0,-87.88,-81.23,3
2016-07-25_20:29:10.00,254.0,-81.72,-82.48,2
2016-07-25_20:29:10.00,256.0,-88.32,-87.44,2
2016-07-25_20:29:10.00,258.0,-84.09,-86.3,2
2016-07-25_20:29:10.00,260.0,-86.14,-93.62,1
2016-07-25_20:29:10.00,262.0,-80.42,-86.86,1
2016-07-25_20:29:10.00,264.0,-82.69,-88.14,1
2016-07-25_20:29:10.00,266.0,-83.26,-87.52,1
2016-07-25_20:29:10.00,268.0,-88.29,-87.84,2
2016-07-25_20:29:10.00,270.0,-83.46,-87.48,1
2016-07-25_20:29:10.00,272.0,-84.65,-85.09,2
2016-07-25_20:29:10.00,274.0,-82.2,-83.98,2
2016-07-25_20:29:20.00,204.0,-87.3,-91.32,1
2016-07-25_20:29:20.00,206.0,-92.92,-90.55,2
2016-07-25_20:29:20.00,208.0,-79.31,-84.39,1
2016-07-25_20:29:20.00,210.0,-89.6,-82.8,3
2016-07-25_20:29:20.00,212.0,-82.24,-90.66,1
2016-07-25_20:29:20.00,214.0,-85.72,-88.31,2
2016-07-25_20:29:20.00,216.0,-97.03,-94.86,2
2016-07-25_20:29:20.00,218.0,-96.1,-90.24,3
2016-07-25_20:29:20.00,220.0,-89.55,-93.77,1
2016-07-25_20:29:20.00,222.0,-86.31,-99.33,1
2016-07-25_20:29:20.00,224.0,-95.58,-90.73,3
2016-07-25_20:29:20.00,226.0,-98.72,-89.76,3
2016-07-25_20:29:20.00,228.0,-84.53,-89.56,1
2016-07-25_20:29:20.00,230.0,-78.28,-79.4,2
2016-07-25_20:29:20.00,232.0,-90.13,-85.7,3
2016-07-25_20:29:20.00,234.0,-95.95,-87.34,3
2016-07-25_20:29:20.00,236.0,-91.18,-93.54,2
2016-07-25_20:29:20.00,238.0,-92.09,-88.54,3
2016-07-25_20:29:20.00,240.0,-86.95,-85.51,2
2016-07-25_20:29:20.00,242.0,-85.18,-82.89,2
2016-07-25_20:29:20.00,244.0,-84.56,-84.05,2
2016-07-25_20:29:20.00,246.0,-89.34,-86.62,2
2016-07-25_20:29:20.00,248.0,-86.99,-83.04,3
2016-07-25_20:29:20.00,250.0,-82.76,-93.44,1
2016-07-25_20:29:20.00,252.0,-88.04,-87.94,2
2016-07-25_20:29:20.00,254.0,-90.75,-91.7,2
2016-07-25_20:29:20.00,256.0,-95.3,-89.12,3
2016-07-25_20:29:20.00,258.0,-95.6,-98.88,1
2016-07-25_20:29:20.00,260.0,-90.3,-85.59,3
2016-07-25_20:29:20.00,262.0,-81.33,-92.09,1
2016-07-25_20:29:20.00,264.0,-87.47,-88.26,2
2016-07-25_20:29:20.00,266.0,-81.08,-93.43,1
2016-07-25_20:29:20.00,268.0,-92.78,-90.59,2
2016-07-25_20:29:20.00,270.0,-90.76,-93.96,1
2016-07-25_20:29:30.00,206.0,-90.29,-85.95,3
2016-07-25_20:29:30.00,208.0,-85.3,-89.49,1
2016-07-25_20:29:30.00,210.0,-96.15,-87.18,3
2016-07-25_20:29:30.00,212.0,-92.72,-89.89,2
2016-07-25_20:29:30.00,214.0,-96.46,-89.98,3
2016-07-25_20:29:30.00,216.0,-86.27,-93.06,1
2016-07-25_20:29:30.00,218.0,-77.25,-87.35,1
2016-07-25_20:29:30.00,220.0,-87.58,-89.87,2
2016-07-25_20:29:30.00,222.0,-88.45,-91.93,1
2016-07-25_20:29:30.00,224.0,-98.07,-104.89,1
2016-07-25_20:29:30.00,226.0,-84.78,-84.81,2
2016-07-25_20:29:30.00,228.0,-92.47,-99.04,1
2016-07-25_20:29:30.00,230.0,-91.64,-95.8,1
2016-07-25_20:29:30.00,232.0,-96.4,-97.93,2
2016-07-25_20:29:30.00,234.0,-93.4,-84.8,3
2016-07-25_20:29:30.00,236.0,-88.6,-81.4,3
2016-07-25_20:29:30.00,238.0,-87.33,-79.34,3
2016-07-25_20:29:30.00,240.0,-89.05,-87.04,2
2016-07-25_20:29:30.00,242.0,-90.95,-84.45,3
2016-07-25_20:29:30.00,244.0,-93.85,-90.1,3
2016-07-25_20:29:30.00,246.0,-90.55,-96.12,1
2016-07-25_20:29:30.00,248.0,-94.65,-88.78,3
