DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-07_20:21:00.00,650.0,-79.95,-77.76,2
2016-07-07_20:21:00.00,652.0,-78.45,-76.73,2
2016-07-07_20:21:00.00,654.0,-77.02,-73.72,3
2016-07-07_20:21:00.00,656.0,-77.71,-78.71,2
2016-07-07_20:21:00.00,658.0,-82.42,-76.21,3
2016-07-07_20:21:00.00,660.0,-78.31,-78.31,2
2016-07-07_20:21:00.00,662.0,-77.93,-82.83,1
2016-07-07_20:21:00.00,664.0,-74.77,-78.83,1
2016-07-07_20:21:00.00,666.0,-76.99,-80.53,1
2016-07-07_20:21:00.00,668.0,-74.1,-76.19,2
2016-07-07_20:21:00.00,670.0,-77.75,-77.03,2
2016-07-07_20:21:00.00,672.0,-75.98,-80.77,1
2016-07-07_20:21:00.00,674.0,-70.65,-83.02,1
2016-07-07_20:21:00.00,676.0,-75.91,-82.94,1
2016-07-07_20:21:00.00,678.0,-72.99,-78.5,1
2016-07-07_20:21:00.00,680.0,-70.78,-77.49,1
2016-07-07_20:21:00.00,682.0,-77.89,-80.3,2
2016-07-07_20:21:00.00,684.0,-77.85,-78.77,2
2016-07-07_20:21:00.00,686.0,-78.95,-83.03,1
2016-07-07_20:21:00.00,688.0,-78.22,-84.01,1
2016-07-07_20:21:00.00,690.0,-75.28,-88.89,1
2016-07-07_20:21:00.00,692.0,-74.49,-82.99,1
2016-07-07_20:21:00.00,694.0,-79.22,-79.98,2
2016-07-07_20:21:00.00,696.0,-81.11,-84.45,1
2016-07-07_20:21:00.00,698.0,-80.01,-80.35,2
2016-07-07_20:21:00.00,700.0,-80.71,-87.92,1
2016-07-07_20:21:00.00,702.0,-77.17,-79.86,2
2016-07-07_20:21:00.00,704.0,-73.79,-79.73,1
2016-07-07_20:21:00.00,706.0,-82.28,-81.16,2
2016-07-07_20:21:00.00,708.0,-78.37,-81.86,1
2016-07-07_20:21:00.00,710.0,-78.42,-80.71,2
2016-07-07_20:21:00.00,712.0,-76.57,-79.39,2
2016-07-07_20:21:00.00,714.0,-77.2,-75.62,2
2016-07-07_20:21:00.00,716.0,-77.33,-78.43,2
2016-07-07_20:21:00.00,718.0,-77.45,-78.44,2
2016-07-07_20:21:00.00,720.0,-75.73,-78.75,1
2016-07-07_20:21:00.00,722.0,-76.51,-83.15,1
2016-07-07_20:21:10.00,674.0,-75.47,-82.13,1
2016-07-07_20:21:10.00,676.0,-74.95,-77.52,2
2016-07-07_20:21:10.00,678.0,-72.81,-76.05,1
2016-07-07_20:21:10.00,680.0,-75.31,-77.18,2
