DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-25_20:50:20.00,266.0,-89.26,-86.5,2
2016-07-25_20:50:20.00,268.0,-90.32,-87.09,3
2016-07-25_20:50:20.00,270.0,-90.39,-103.18,1
2016-07-25_20:50:20.00,272.0,-94.74,-98.27,1
2016-07-25_20:50:20.00,274.0,-87.97,-89.12,2
2016-07-25_20:50:20.00,276.0,-96.09,-91.52,3
2016-07-25_20:50:20.00,278.0,-91.28,-86.93,3
2016-07-25_20:50:20.00,280.0,-89.29,-88.19,2
2016-07-25_20:50:20.00,282.0,-89.62,-84.47,3
2016-07-25_20:50:20.00,284.0,-92.01,-85.93,3
2016-07-25_20:50:20.00,286.0,-85.96,-83.2,2
2016-07-25_20:50:20.00,288.0,-89.06,-85.03,3
2016-07-25_20:50:20.00,290.0,-93.18,-82.67,3
2016-07-25_20:50:20.00,292.0,-88.01,-83.07,3
2016-07-25_20:50:20.00,294.0,-92.29,-84.11,3
2016-07-25_20:50:20.00,296.0,-80.35,-78.35,2
2016-07-25_20:50:20.00,298.0,-86.4,-78.5,3
2016-07-25_20:50:20.00,300.0,-84.42,-80.91,3
2016-07-25_20:50:20.00,302.0,-83.91,-83.01,2
2016-07-25_20:50:20.00,304.0,-74.95,-78.99,1
2016-07-25_20:50:20.00,306.0,-75.0,-79.57,1
2016-07-25_20:50:20.00,308.0,-76.05,-80.73,1
2016-07-25_20:50:20.00,310.0,-81.75,-77.85,3
2016-07-25_20:50:20.00,312.0,-77.05,-79.15,2
2016-07-25_20:50:20.00,314.0,-73.06,-80.36,1
2016-07-25_20:50:20.00,316.0,-78.57,-78.72,2
2016-07-25_20:50:20.00,318.0,-73.71,-79.0,1
2016-07-25_20:50:20.00,320.0,-72.53,-79.97,1
2016-07-25_20:50:20.00,322.0,-73.5,-81.96,1
2016-07-25_20:50:20.00,324.0,-80.56,-84.86,1
2016-07-25_20:50:20.00,326.0,-72.6,-74.79,2
2016-07-25_20:50:20.00,328.0,-75.26,-82.11,1
2016-07-25_20:50:20.00,330.0,-70.41,-77.11,1
2016-07-25_20:50:20.00,332.0,-75.36,-77.09,2
2016-07-25_20:50:20.00,334.0,-73.18,-76.25,1
2016-07-25_20:50:20.00,336.0,-73.32,-74.29,2
2016-07-25_20:50:20.00,338.0,-70.41,-85.05,1
2016-07-25_20:50:20.00,340.0,-73.64,-76.13,2
2016-07-25_20:50:20.00,342.0,-72.86,-81.12,1
2016-07-25_20:50:20.00,344.0,-72.9,-81.61,1
2016-07-25_20:50:20.00,346.0,-75.65,-78.26,2
2016-07-25_20:50:20.00,348.0,-71.57,-79.37,1
2016-07-25_20:50:30.00,250.0,-87.76,-87.77,2
2016-07-25_20:50:30.00,252.0,-87.3,-92.65,1
2016-07-25_20:50:30.00,254.0,-79.96,-85.25,1
2016-07-25_20:50:30.00,256.0,-80.83,-85.42,1
2016-07-25_20:50:30.00,258.0,-89.95,-84.33,3
2016-07-25_20:50:30.00,260.0,-83.02,-90.21,1
2016-07-25_20:50:30.00,262.0,-92.54,-89.45,3
2016-07-25_20:50:30.00,264.0,-87.91,-89.11,2
2016-07-25_20:50:30.00,266.0,-91.77,-103.26,1
2016-07-25_20:50:30.00,268.0,-90.65,-104.25,1
2016-07-25_20:50:30.00,270.0,-85.27,-90.93,1
2016-07-25_20:50:30.00,272.0,-93.35,-97.46,1
2016-07-25_20:50:30.00,274.0,-95.04,-97.35,2
2016-07-25_20:50:30.00,276.0,-91.03,-93.5,2
2016-07-25_20:50:30.00,278.0,-85.05,-90.65,1
2016-07-25_20:50:30.00,280.0,-93.79,-84.0,3
2016-07-25_20:50:30.00,282.0,-87.49,-84.2,3
2016-07-25_20:50:30.00,284.0,-91.35,-87.58,3
2016-07-25_20:50:30.00,286.0,-86.84,-85.73,2
2016-07-25_20:50:30.00,288.0,-89.02,-85.48,3
2016-07-25_20:50:30.00,290.0,-84.44,-82.97,2
2016-07-25_20:50:30.00,292.0,-84.37,-81.25,3
2016-07-25_20:50:30.00,294.0,-83.44,-81.77,2
2016-07-25_20:50:30.00,296.0,-92.66,-79.89,3
2016-07-25_20:50:30.00,298.0,-86.5,-82.04,3
2016-07-25_20:50:30.00,300.0,-85.1,-76.02,3
2016-07-25_20:50:30.00,302.0,-86.82,-82.22,3
2016-07-25_20:50:30.00,304.0,-83.88,-82.17,2
2016-07-25_20:50:30.00,306.0,-79.58,-79.69,2
2016-07-25_20:50:30.00,308.0,-80.86,-79.17,2
2016-07-25_20:50:30.00,310.0,-75.85,-82.51,1
2016-07-25_20:50:30.00,312.0,-84.76,-81.47,3
2016-07-25_20:50:30.00,314.0,-73.59,-73.86,2
2016-07-25_20:50:30.00,316.0,-74.43,-73.75,2
2016-07-25_20:50:30.00,318.0,-74.76,-73.49,2
2016-07-25_20:50:30.00,320.0,-76.56,-82.31,1
2016-07-25_20:50:30.00,322.0,-72.22,-78.83,1
2016-07-25_20:50:40.00,236.0,-86.06,-94.52,1
2016-07-25_20:50:40.00,238.0,-84.09,-85.6,2
2016-07-25_20:50:40.00,240.0,-79.33,-84.86,1
2016-07-25_20:50:40.00,242.0,-84.85,-84.65,2
2016-07-25_20:50:40.00,244.0,-88.04,-86.05,2
2016-07-25_20:50:40.00,246.0,-86.16,-86.84,2
2016-07-25_20:50:40.00,248.0,-83.33,-87.19,1
2016-07-25_20:50:40.00,250.0,-90.66,-87.09,3
2016-07-25_20:50:40.00,252.0,-84.29,-87.47,1
2016-07-25_20:50:40.00,254.0,-83.74,-86.93,1
2016-07-25_20:50:40.00,256.0,-86.85,-83.71,3
2016-07-25_20:50:40.00,258.0,-88.38,-87.34,2
2016-07-25_20:50:40.00,260.0,-85.54,-83.98,2
2016-07-25_20:50:40.00,262.0,-84.02,-86.84,2
2016-07-25_20:50:40.00,264.0,-87.09,-94.24,1
2016-07-25_20:50:40.00,266.0,-81.21,-90.49,1
2016-07-25_20:50:40.00,268.0,-86.27,-95.33,1
2016-07-25_20:50:40.00,270.0,-85.08,-93.83,1
2016-07-25_20:50:40.00,272.0,-91.47,-99.17,1
2016-07-25_20:50:40.00,274.0,-95.31,-97.09,2
2016-07-25_20:50:40.00,276.0,-97.3,-93.04,3
2016-07-25_20:50:40.00,278.0,-89.34,-85.74,3
2016-07-25_20:50:40.00,280.0,-84.11,-89.89,1
2016-07-25_20:50:40.00,282.0,-93.13,-90.05,3
2016-07-25_20:50:40.00,284.0,-93.39,-85.92,3
2016-07-25_20:50:40.00,286.0,-90.49,-91.13,2
2016-07-25_20:50:40.00,288.0,-87.54,-87.95,2
2016-07-25_20:50:40.00,290.0,-86.63,-83.39,3
2016-07-25_20:50:40.00,292.0,-87.41,-84.2,3
2016-07-25_20:50:40.00,294.0,-82.71,-80.44,2
2016-07-25_20:50:50.00,222.0,-84.09,-84.94,2
2016-07-25_20:50:50.00,224.0,-88.84,-88.49,2
2016-07-25_20:50:50.00,226.0,-86.93,-88.84,2
2016-07-25_20:50:50.00,228.0,-84.81,-84.75,2
2016-07-25_20:50:50.00,230.0,-83.33,-90.67,1
