DateTime,depth_m,18kHz_Sv,38kHz_Sv,code
2016-07-25_21:27:30.00,114.0,-97.54,-100.17,2
2016-07-25_21:27:30.00,116.0,-84.12,-86.73,2
2016-07-25_21:27:30.00,118.0,-91.95,-93.78,2
2016-07-25_21:27:30.00,120.0,-96.09,-97.17,2
2016-07-25_21:27:30.00,122.0,-90.82,-95.34,1
2016-07-25_21:27:30.00,124.0,-95.53,-95.79,2
2016-07-25_21:27:30.00,126.0,-96.92,-89.44,3
2016-07-25_21:27:30.00,128.0,-103.86,-93.63,3
2016-07-25_21:27:30.00,130.0,-96.13,-92.46,3
2016-07-25_21:27:30.00,132.0,-93.15,-96.38,1
2016-07-25_21:27:30.00,134.0,-94.08,-103.42,1
2016-07-25_21:27:30.00,136.0,-85.08,-85.26,2
2016-07-25_21:27:30.00,138.0,-90.88,-89.4,2
2016-07-25_21:27:30.00,140.0,-88.41,-91.31,2
2016-07-25_21:27:30.00,142.0,-92.29,-92.55,2
2016-07-25_21:27:30.00,144.0,-102.28,-110.87,1
2016-07-25_21:27:30.00,146.0,-93.73,-88.16,3
2016-07-25_21:27:30.00,148.0,-88.74,-90.37,2
2016-07-25_21:27:30.00,150.0,-90.22,-88.14,2
2016-07-25_21:27:30.00,152.0,-94.78,-103.5,1
2016-07-25_21:27:30.00,154.0,-105.1,-111.92,1
2016-07-25_21:27:30.00,156.0,-94.75,-105.39,1
2016-07-25_21:27:30.00,158.0,-94.47,-97.37,2
2016-07-25_21:27:30.00,160.0,-86.61,-92.73,1
2016-07-25_21:27:30.00,162.0,-101.77,-111.54,1
2016-07-25_21:27:30.00,164.0,-103.52,-107.14,1
2016-07-25_21:27:30.00,166.0,-101.2,-102.51,2
2016-07-25_21:27:30.00,168.0,-100.93,-92.87,3
2016-07-25_21:27:30.00,170.0,-101.4,-89.65,3
2016-07-25_21:27:30.00,172.0,-86.46,-92.85,1
2016-07-25_21:27:30.00,174.0,-87.43,-86.77,2
2016-07-25_21:27:30.00,176.0,-94.02,-91.73,2
2016-07-25_21:27:30.00,178.0,-91.55,-87.64,3
2016-07-25_21:27:30.00,180.0,-96.98,-92.94,3
2016-07-25_21:27:30.00,182.0,-93.39,-88.88,3
2016-07-25_21:27:30.00,184.0,-78.83,-85.76,1
2016-07-25_21:27:30.00,186.0,-84.65,-86.79,2
2016-07-25_21:27:30.00,188.0,-78.96,-81.89,2
2016-07-25_21:27:30.00,190.0,-78.24,-79.51,2
2016-07-25_21:27:30.00,192.0,-82.7,-85.88,1
2016-07-25_21:27:30.00,194.0,-90.16,-90.74,2
2016-07-25_21:27:30.00,196.0,-80.84,-101.38,1
2016-07-25_21:27:30.00,198.0,-95.31,-90.09,3
2016-07-25_21:27:30.00,200.0,-89.23,-85.28,3
2016-07-25_21:27:30.00,202.0,-95.91,-85.48,3
2016-07-25_21:27:30.00,204.0,-101.62,-91.27,3
2016-07-25_21:27:30.00,206.0,-90.37,-94.16,1
2016-07-25_21:27:30.00,208.0,-84.84,-90.37,1
2016-07-25_21:27:30.00,210.0,-98.29,-88.78,3
